Date,Unique ID,Game,Time In,Time Out,Duration (minutes)
8/25,1,Uno,17:28,17:50,22
8/26,2,Sorry,15:10,15:38,28
8/26,3,Catan,19:55,21:32,97
8/26,2,Taboo,20:05,20:36,31
8/27,4,Sorry,19:33,20:00,27
8/27,5,Uno,19:40,19:59,19
8/28,6,Chess,12:14,12:46,32
8/28,7,Taboo,12:27,13:02,35
8/28,8,Jenga,12:31,12:58,27
8/28,9,Uno,12:57,13:23,26
8/28,7,Pictionary,13:38,13:42,4
8/28,10,Connect Four,14:11,14:18,7
8/28,11,Taboo,14:20,15:36,76
8/28,12,Connect Four,14:50,15:44,54
8/28,12,Exploding Kittens,15:45,16:06,21
8/28,13,Uno,15:57,17:08,71
8/28,14,Exploding Kittens,16:24,16:52,28
8/28,15,Chess,17:06,17:34,28
8/28,16,Bannagrams,17:33,18:01,28
8/28,17,Chess,18:22,19:00,38
8/28,1,Deck of Cards,18:31,19:16,45
8/29,18,Uno,16:24,17:06,42
8/29,19,Chess,17:57,18:30,33
8/29,1,Deck of Cards,18:04,18:50,46
8/29,20,Sorry,18:45,19:06,21
8/31,21,Chess,20:14,20:31,17
9/1,19,Sorry,20:00,20:45,45
9/1,22,Taboo,20:27,21:13,46
9/1,23,Uno,20:59,21:39,40
9/2,24,Monopoly,19:05,19:47,42
9/2,25,Exploding Kittens,20:25,21:06,41
9/2,26,Ticket to Ride,21:41,22:05,24
9/3,27,Taboo,15:34,16:03,29
9/3,28,Chess,21:28,21:57,29
9/5,29,Chess,12:45,13:36,51
9/7,26,Ticket to Ride,19:00,19:57,57
9/8,26,Catan,15:04,15:28,24
9/8,30,Jenga,18:12,18:30,18
9/8,31,Uno,18:25,19:07,42
9/8,32,Sorry,19:08,19:17,9
9/8,33,Deck of Cards,20:02,20:37,35
9/8,34,Ticket to Ride,20:05,20:52,47
9/9,35,Chess,19:14,20:08,54
9/9,27,Set,21:12,21:31,19
9/10,27,Taboo,18:40,19:45,65
9/15,22,Deck of Cards,18:31,18:34,3
9/15,36,Deck of Cards,19:53,20:08,15
9/19,37,Uno,19:18,19:55,37
9/21,38,Connect Four,16:05,16:31,26
9/21,39,Bannagrams,19:18,20:14,56
9/22,40,Chess,19:25,20:12,47
9/22,41,Taboo,20:41,21:24,43
9/24,11,Ticket to Ride,16:39,17:52,73
9/25,42,Connect Four,14:18,14:51,33
9/26,43,Connect Four,20:40,21:55,75
9/27,40,Chess,15:43,16:58,75
9/30,44,Ticket to Ride,16:04,16:45,41
10/1,45,Deck of Cards,12:54,13:16,22
10/4,46,Chess,15:31,16:37,66
10/4,47,Deck of Cards,18:22,18:50,28
10/4,22,Deck of Cards,18:40,18:50,10
10/6,48,Exploding Kittens,14:22,14:55,33
10/6,40,Chess,17:52,18:30,38
10/6,46,Chess,21:30,22:15,45
10/7,44,Ticket to Ride,16:02,16:33,31
10/7,49,Chess,21:20,21:38,18
10/10,46,Chess,20:21,20:54,33
10/21,50,Uno,11:05,11:49,44
10/23,46,Chess,15:50,16:44,54
10/24,51,Connect Four,10:59,11:46,47
10/28,12,Catan,13:28,14:52,84
10/28,46,Chess,20:11,20:33,22
10/29,52,Catan,13:00,14:22,82
10/30,40,Chess,14:32,15:05,33
10/30,40,Chess,18:58,19:30,32
11/3,53,Uno,19:20,20:08,48
11/3,53,Exploding Kittens,19:20,20:08,48
11/4,40,Chess,13:22,14:12,50
11/4,54,Uno,22:22,23:57,95
11/7,55,Chess,17:08,18:17,69
11/7,56,Chess,19:36,20:30,54
11/7,49,Chess,21:14,22:00,46
11/8,49,Chess,16:36,17:30,54
11/8,57,Chess,20:31,21:25,54
11/10,15,Chess,13:55,14:15,20
11/10,15,Catan,14:15,14:52,37
11/10,58,Chess,19:56,20:49,53
11/11,15,Catan,16:43,18:02,79
11/11,59,Chess,20:14,20:30,16
11/11,46,Chess,20:35,20:55,20
11/11,49,Chess,22:32,23:21,49
11/12,49,Chess,18:38,19:08,30
11/12,60,Chess,15:35,16:23,48
11/16,60,Chess,13:10,13:46,36
12/2,11,Catan,19:40,22:10,150
12/8,61,Connect Four,12:48,13:48,60
12/8,39,Chess,14:17,14:39,22
12/8,41,Taboo,22:02,22:50,48
12/9,44,Risk,16:18,17:20,62
12/11,62,Chess,14:33,16:43,130
12/11,62,Deck of Cards,16:43,17:33,50
12/12,40,Chess,19:20,19:38,18
12/12,63,Deck of Cards,17:25,18:45,80
12/12,62,Deck of Cards,20:01,22:00,119
12/14,64,Chess,12:00,13:15,75
